angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.27,"[776, 264, 296, 371]",0.0,0.18,0.0,0.28,0.21,0.07
0.27,"[776, 263, 296, 371]",0.0,0.15,0.0,0.31,0.2,0.06
0.27,"[776, 263, 296, 371]",0.0,0.15,0.0,0.31,0.2,0.06
0.28,"[781, 267, 289, 365]",0.0,0.24,0.0,0.24,0.18,0.05
0.27,"[781, 267, 289, 365]",0.0,0.24,0.0,0.24,0.19,0.05
0.27,"[780, 266, 291, 367]",0.0,0.19,0.0,0.31,0.2,0.03
0.27,"[780, 266, 291, 367]",0.0,0.19,0.0,0.31,0.2,0.03
0.27,"[780, 266, 291, 367]",0.0,0.19,0.0,0.31,0.2,0.03
0.06,"[779, 269, 289, 364]",0.0,0.23,0.0,0.32,0.39,0.0
0.05,"[779, 269, 289, 364]",0.0,0.23,0.0,0.33,0.39,0.0
0.22,"[776, 267, 293, 368]",0.0,0.2,0.0,0.25,0.32,0.0
0.22,"[776, 267, 293, 368]",0.0,0.2,0.0,0.25,0.32,0.0
0.22,"[776, 267, 293, 368]",0.0,0.2,0.0,0.25,0.32,0.0
0.24,"[777, 266, 294, 369]",0.0,0.24,0.0,0.27,0.23,0.02
0.25,"[776, 266, 295, 369]",0.0,0.21,0.0,0.28,0.24,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.2,"[778, 266, 291, 367]",0.0,0.23,0.0,0.32,0.22,0.02
0.18,"[780, 267, 287, 364]",0.0,0.2,0.0,0.27,0.32,0.02
0.18,"[780, 267, 287, 364]",0.0,0.2,0.0,0.27,0.32,0.02
0.19,"[779, 266, 289, 366]",0.0,0.21,0.0,0.28,0.29,0.02
0.2,"[779, 266, 289, 366]",0.0,0.21,0.0,0.28,0.29,0.02
0.2,"[779, 266, 289, 366]",0.0,0.21,0.0,0.28,0.29,0.02
0.25,"[780, 263, 287, 375]",0.0,0.22,0.0,0.3,0.18,0.04
0.28,"[781, 264, 287, 374]",0.0,0.22,0.0,0.28,0.19,0.04
0.22,"[781, 265, 286, 373]",0.0,0.2,0.0,0.34,0.18,0.06
0.21,"[781, 265, 286, 373]",0.0,0.21,0.0,0.34,0.18,0.06
0.21,"[781, 265, 286, 373]",0.0,0.21,0.0,0.34,0.18,0.06
0.19,"[780, 265, 283, 370]",0.0,0.27,0.0,0.28,0.19,0.07
0.19,"[780, 265, 284, 369]",0.0,0.25,0.0,0.3,0.18,0.07
0.2,"[773, 267, 290, 365]",0.0,0.32,0.0,0.23,0.18,0.07
0.2,"[772, 264, 293, 369]",0.0,0.28,0.0,0.27,0.16,0.08
0.2,"[772, 264, 293, 369]",0.0,0.28,0.0,0.27,0.16,0.08
0.19,"[780, 260, 279, 368]",0.0,0.25,0.0,0.31,0.15,0.09
0.23,"[775, 251, 286, 388]",0.0,0.2,0.0,0.3,0.17,0.1
0.22,"[777, 257, 283, 371]",0.0,0.23,0.0,0.3,0.14,0.1
0.22,"[777, 257, 283, 371]",0.0,0.24,0.0,0.3,0.14,0.1
0.22,"[777, 257, 283, 371]",0.0,0.24,0.0,0.3,0.14,0.1
0.18,"[777, 257, 279, 366]",0.0,0.26,0.0,0.28,0.17,0.1
0.24,"[777, 257, 280, 368]",0.0,0.23,0.0,0.29,0.17,0.07
0.23,"[776, 256, 281, 369]",0.0,0.22,0.0,0.31,0.18,0.06
0.23,"[776, 256, 281, 369]",0.0,0.21,0.0,0.31,0.18,0.06
0.23,"[776, 256, 281, 369]",0.0,0.21,0.0,0.31,0.18,0.06
0.21,"[778, 257, 278, 366]",0.0,0.26,0.0,0.24,0.23,0.06
0.19,"[779, 257, 279, 367]",0.0,0.26,0.0,0.3,0.16,0.09
0.18,"[780, 257, 277, 367]",0.0,0.23,0.0,0.33,0.17,0.09
0.18,"[780, 257, 277, 367]",0.0,0.23,0.0,0.33,0.17,0.09
0.18,"[780, 257, 277, 367]",0.0,0.23,0.0,0.33,0.17,0.09
0.17,"[781, 257, 278, 367]",0.0,0.24,0.0,0.3,0.16,0.13
0.17,"[781, 257, 278, 367]",0.0,0.24,0.0,0.31,0.16,0.13
0.2,"[778, 256, 280, 367]",0.0,0.24,0.0,0.26,0.24,0.06
0.2,"[778, 256, 281, 367]",0.0,0.24,0.0,0.25,0.24,0.06
0.2,"[778, 256, 281, 367]",0.0,0.24,0.0,0.25,0.24,0.06
0.21,"[780, 258, 279, 365]",0.0,0.24,0.0,0.24,0.24,0.08
0.19,"[780, 258, 279, 364]",0.0,0.25,0.0,0.23,0.26,0.07
