angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[825, 177, 291, 370]",0.0,0.02,0.0,0.87,0.09,0.0
0.01,"[825, 178, 291, 369]",0.0,0.02,0.0,0.88,0.09,0.0
0.01,"[825, 178, 291, 369]",0.0,0.02,0.0,0.88,0.09,0.0
0.01,"[825, 177, 292, 371]",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"[825, 177, 292, 371]",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"[823, 175, 294, 375]",0.0,0.02,0.0,0.87,0.1,0.01
0.01,"[823, 175, 294, 375]",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"[823, 175, 294, 375]",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"[823, 177, 293, 373]",0.0,0.02,0.0,0.87,0.1,0.01
0.01,"[823, 177, 293, 373]",0.0,0.02,0.0,0.87,0.1,0.01
0.01,"[821, 177, 294, 375]",0.0,0.02,0.0,0.87,0.1,0.01
0.01,"[821, 177, 294, 375]",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"[821, 177, 294, 375]",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"[819, 176, 295, 378]",0.0,0.01,0.0,0.9,0.07,0.0
0.01,"[819, 176, 295, 377]",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"[842, 198, 278, 347]",0.0,0.03,0.0,0.9,0.06,0.01
0.01,"[842, 198, 278, 347]",0.0,0.03,0.0,0.89,0.06,0.01
0.01,"[842, 198, 278, 347]",0.0,0.03,0.0,0.89,0.06,0.01
0.01,"[842, 199, 278, 349]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[816, 177, 295, 379]",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"[843, 202, 277, 344]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[844, 202, 276, 344]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[844, 202, 276, 344]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[843, 201, 276, 346]",0.0,0.03,0.0,0.92,0.05,0.0
0.01,"[843, 201, 276, 346]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[844, 202, 275, 344]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[845, 202, 275, 343]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[844, 201, 276, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[842, 199, 278, 347]",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"[842, 199, 278, 347]",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"[818, 178, 293, 373]",0.0,0.02,0.0,0.83,0.13,0.0
0.01,"[845, 199, 274, 344]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[845, 199, 274, 344]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[846, 199, 273, 345]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[846, 200, 273, 344]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[845, 200, 275, 345]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[845, 200, 275, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[845, 200, 275, 345]",0.0,0.03,0.0,0.91,0.05,0.0
0.0,"[844, 201, 274, 344]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[845, 201, 273, 344]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[844, 200, 275, 344]",0.0,0.03,0.0,0.89,0.07,0.01
0.01,"[844, 200, 275, 344]",0.0,0.03,0.0,0.89,0.07,0.01
0.01,"[844, 200, 275, 344]",0.0,0.03,0.0,0.89,0.07,0.01
0.01,"[844, 201, 275, 344]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[844, 201, 275, 344]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[843, 200, 276, 345]",0.0,0.02,0.0,0.92,0.04,0.0
0.01,"[843, 200, 276, 345]",0.0,0.02,0.0,0.92,0.04,0.0
0.01,"[843, 200, 276, 345]",0.0,0.02,0.0,0.92,0.04,0.0
0.0,"[846, 202, 275, 345]",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"[847, 202, 274, 344]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[847, 203, 275, 344]",0.0,0.05,0.0,0.88,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[846, 203, 276, 344]",0.0,0.04,0.0,0.87,0.07,0.01
0.01,"[846, 203, 276, 344]",0.0,0.04,0.0,0.86,0.07,0.01
0.01,"[846, 203, 276, 345]",0.0,0.03,0.0,0.9,0.05,0.01
0.01,"[847, 203, 275, 344]",0.0,0.05,0.0,0.88,0.06,0.01
0.01,"[847, 203, 275, 344]",0.0,0.05,0.0,0.88,0.06,0.01
0.01,"[847, 203, 277, 346]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[847, 203, 277, 346]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[848, 204, 277, 345]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[848, 203, 277, 346]",0.0,0.02,0.0,0.92,0.05,0.0
0.01,"[848, 203, 277, 346]",0.0,0.02,0.0,0.92,0.05,0.0
0.01,"[848, 202, 276, 346]",0.0,0.03,0.0,0.9,0.05,0.01
0.01,"[847, 202, 277, 346]",0.0,0.03,0.0,0.9,0.05,0.01
0.01,"[825, 183, 294, 377]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[826, 183, 293, 377]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[826, 183, 293, 377]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[827, 183, 293, 375]",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"[827, 183, 293, 375]",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"[844, 199, 279, 352]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[844, 200, 279, 351]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[844, 200, 279, 351]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[846, 202, 277, 347]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[846, 202, 277, 347]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[847, 202, 277, 347]",0.0,0.03,0.0,0.91,0.06,0.0
0.01,"[849, 200, 278, 349]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[849, 200, 278, 349]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[849, 200, 278, 350]",0.0,0.06,0.0,0.86,0.04,0.02
0.01,"[848, 200, 279, 350]",0.0,0.06,0.0,0.86,0.04,0.02
